0;0;
100;6791;
200;25338;
300;54627;
400;94593;
500;144758;
600;204538;
700;273913;
800;353742;
900;443602;
1000;544005;
1100;654093;
1200;773289;
1300;903505;
1400;1044160;
1500;1193321;
1600;1353830;
1700;1523794;
1800;1702962;
1900;1893913;
2000;2093479;
2100;2303293;
2200;2523390;
2300;2753160;
2400;2992632;
2500;3241098;
2600;3502539;
2700;3771650;
2800;4052701;
2900;4342688;
3000;4641051;
3100;4951554;
3200;5271611;
3300;5601424;
3400;5941472;
3500;6291211;
3600;6651242;
3700;7021702;
3800;7400264;
3900;7791524;
4000;8191076;
4100;8602281;
4200;9021391;
4300;9450123;
4400;9890946;
4500;10342022;
4600;10800722;
4700;11269894;
4800;11750904;
4900;12239624;
5000;12739778;
5100;13250205;
5200;13770878;
5300;14299198;
5400;14841907;
5500;15389891;
5600;15949615;
5700;16520815;
5800;17100505;
5900;17688897;
6000;18290602;
6100;18898477;
6200;19521605;
6300;20148531;
6400;20790630;
6500;21439327;
6600;22099841;
6700;22767102;
6800;23449289;
6900;24137530;
7000;24836956;
7100;25545928;
7200;26267728;
7300;26998610;
7400;27737577;
7500;28486965;
7600;29246530;
7700;30018439;
7800;30797697;
7900;31586406;
8000;32387395;
8100;33193046;
8200;34017167;
8300;34848511;
8400;35687379;
8500;36536587;
8600;37395597;
8700;38264630;
8800;39149352;
8900;40035391;
9000;40936454;
9100;41846199;
9200;42765727;
9300;43694977;
9400;44638147;
9500;45586075;
9600;46544848;
9700;47515500;
9800;48493480;
9900;49487401;
6719819;
6791;16915133;
;7124217;
;7337316;
93;17544983;
8;
7758001;
;7957019;
913;38134262;
2;
8390353;
;8616637;
4005;78853193;
93;
9106921;
1;
9314740;
505;19563299;
160;
9792875;
68;
10098258;
830;110248629;
94;
10559344;
0;
10755629;
913;211139508;
79;
11313277;
6;
11574727;
390;311844259;
60;
12111047;
8;
12393530;
098;412607800;
39;
12920020;
5;
13173888;
701;513544390;
88;
13720446;
3;
14079117;
554;614362928;
11;
14724379;
