0;0;0;0;
100;6791;1511;169;
200;25338;5801;626;
300;54627;13384;726;
400;94593;24015;1389;
500;144758;37748;1733;
600;204538;54724;1923;
700;273913;73283;2414;
800;353742;94991;2683;
900;443602;120892;2939;
1000;544005;149168;3086;
1100;654093;179618;3837;
1200;773289;216040;4258;
1300;903505;252627;4577;
1400;1044160;291746;5229;
1500;1193321;334407;5577;
1600;1353830;386028;5925;
1700;1523794;432526;6270;
1800;1702962;482165;6489;
1900;1893913;539345;6666;
2000;2093479;595763;7364;
2100;2303293;659406;7863;
2200;2523390;720692;8425;
2300;2753160;793714;9528;
2400;2992632;862970;9557;
2500;3241098;935483;10079;
2600;3502539;1011747;10189;
2700;3771650;1090206;10877;
2800;4052701;1180739;11127;
2900;4342688;1249760;10917;
3000;4641051;1339349;11768;
3100;4951554;1432504;12076;
3200;5271611;1530552;13728;
3300;5601424;1621355;14042;
3400;5941472;1736889;13913;
3500;6291211;1823327;13968;
3600;6651242;1936535;14714;
3700;7021702;2054549;14862;
3800;7400264;2164763;15767;
3900;7791524;2272934;15258;
4000;8191076;2389684;16425;
4100;8602281;2510867;17929;
4200;9021391;2629158;18591;
4300;9450123;2761478;17977;
4400;9890946;2894073;18553;
4500;10342022;3024213;19485;
4600;10800722;3154555;20357;
4700;11269894;3316517;20458;
4800;11750904;3433651;21241;
4900;12239624;3578287;20079;
5000;12739778;3715313;22126;
5100;13250205;3879513;21520;
5200;13770878;4046321;22248;
5300;14299198;4206738;22014;
5400;14841907;4366154;22641;
5500;15389891;4520936;23206;
5600;15949615;4683483;24126;
5700;16520815;4880803;24329;
5800;17100505;5051418;24460;
5900;17688897;5192309;25712;
6000;18290602;5388326;25240;
6100;18898477;5558999;26957;
6200;19521605;5738384;26082;
6300;20148531;5931251;26963;
6400;20790630;6134345;28642;
6500;21439327;6325300;28064;
6600;22099841;6518467;28714;
6700;22767102;6719819;30315;
6800;23449289;6915133;31393;
6900;24137530;7124217;29911;
7000;24836956;7337316;32038;
7100;25545928;7544983;32283;
7200;26267728;7758001;31608;
7300;26998610;7957019;32571;
7400;27737577;8134262;31522;
7500;28486965;8390353;33561;
7600;29246530;8616637;33588;
7700;30018439;8853193;32537;
7800;30797697;9106921;33158;
7900;31586406;9314740;34443;
8000;32387395;9563299;37009;
8100;33193046;9792875;36688;
8200;34017167;10098258;38213;
8300;34848511;10248629;37490;
8400;35687379;10559344;39377;
8500;36536587;10755629;40283;
8600;37395597;11139508;42529;
8700;38264630;11313277;42647;
8800;39149352;11574727;40131;
8900;40035391;11844259;40781;
9000;40936454;12111047;43939;
9100;41846199;12393530;41390;
9200;42765727;12607800;42511;
9300;43694977;12920020;43039;
9400;44638147;13173888;42247;
9500;45586075;13544390;43765;
9600;46544848;13720446;49331;
9700;47515500;14079117;43921;
9800;48493480;14362928;44629;
9900;49487401;14724379;45910;
