100;1291;2837;763
200;4879;10712;1774
300;11159;23707;3063
400;19951;41939;4803
500;31210;64926;6630
600;44973;94276;7215
700;61165;125592;9014
800;78660;163612;10689
900;100793;207396;13101
1000;126011;254172;11765
1100;150598;308019;15599
1200;179281;364359;17995
1300;211155;427216;18755
1400;243606;494873;20473
1500;276693;569312;20817
1600;318047;647131;21693
1700;357641;728737;25064
1800;400768;817324;29185
1900;450937;909959;24650
2000;487542;1006231;29942
2100;545764;1109612;31260
2200;602113;1214454;31809
2300;658772;1326342;40734
2400;711484;1443692;38849
2500;779143;1566272;39141
2600;833706;1692685;56382
2700;897934;1824259;48845
2800;981817;1965255;51433
2900;1036781;2105757;55303
3000;1101775;2250724;51559
3100;1184169;2400351;63249
3200;1266348;2555866;52417
3300;1346932;2722417;48096
3400;1431302;2888975;51238
3500;1514464;3052298;49913
3600;1600634;3236939;63285
3700;1704254;3416757;62403
3800;1806442;3602408;70889
3900;1874987;3791302;65795
4000;1978944;3992258;74350
4100;2086790;4192876;86115
4200;2179320;4394724;75583
4300;2276275;4613058;77783
4400;2401499;4820228;79990
4500;2508988;5051581;76907
4600;2617680;5276003;86821
4700;2754603;5500308;78403
4800;2881684;5743971;73743
4900;2960054;5980794;71233
5000;3072841;6225950;86720
5100;3226092;6481502;95213
5200;3343798;6725812;99763
5300;3457306;6996162;99445
5400;3604872;7256001;123493
5500;3745924;7527650;104998
5600;3883827;7803274;95002
5700;4048312;8082260;92734
5800;4156961;8381187;112397
5900;4327559;8666708;123193
6000;4464564;8965859;98199
6100;4605289;9250022;101094
6200;4769571;9562305;186413
6300;4906623;9863591;214039
6400;5105343;10183072;99026
6500;5248478;10505790;126493
6600;5401871;10832093;110027
6700;5585565;11158712;130654
6800;5750755;11496833;116029
6900;5884944;11828255;114836
7000;6078224;12173386;213322
7100;6240397;12531751;138923
7200;6420117;12885296;145783
7300;6604587;13242786;238479
7400;6732490;13610962;128510
7500;6918595;13960746;135626
7600;7148199;14352494;128933
7700;7345608;14724559;162104
7800;7519560;15116661;287658
7900;7767557;15516384;149913
8000;7936226;15906472;155882
8100;8107602;16297095;156794
8200;8391668;16713198;304124
8300;8519216;17110477;255446
8400;8760988;17518846;167833
8500;8879247;17939722;150983
8600;9235893;18372223;152100
8700;9351731;18789051;185926
8800;9616899;19230848;180091
8900;9846770;19653426;332850
9000;10078889;20103753;255440
9100;10279703;20544888;151635
9200;10450903;21015000;151442
9300;10713550;21469792;167138
9400;10901064;21937053;290074
9500;11164380;22402267;277963
9600;11356928;22876286;222264
9700;11654205;23341867;267891
9800;11862690;23831808;251483
9900;12175689;24334731;182678
10000;12363336;24825562;174595
