100;1291;2837;763;3147
200;4879;10712;1774;11494
300;11159;23707;3063;24913
400;19951;41939;4803;43388
500;31210;64926;6630;66863
600;44973;94276;7215;95426
700;61165;125592;9014;129001
800;78660;163612;10689;167576
900;100793;207396;13101;211151
1000;126011;254172;11765;259726
1100;150598;308019;15599;313377
1200;179281;364359;17995;372052
1300;211155;427216;18755;435727
1400;243606;494873;20473;504402
1500;276693;569312;20817;578077
1600;318047;647131;21693;656752
1700;357641;728737;25064;740427
1800;400768;817324;29185;829102
1900;450937;909959;24650;922777
2000;487542;1006231;29942;1021452
2100;545764;1109612;31260;1125179
2200;602113;1214454;31809;1233954
2300;658772;1326342;40734;1347729
2400;711484;1443692;38849;1466504
2500;779143;1566272;39141;1590279
2600;833706;1692685;56382;1719054
2700;897934;1824259;48845;1852829
2800;981817;1965255;51433;1991604
2900;1036781;2105757;55303;2135379
3000;1101775;2250724;51559;2284154
3100;1184169;2400351;63249;2437929
3200;1266348;2555866;52417;2596704
3300;1346932;2722417;48096;2760479
3400;1431302;2888975;51238;2929254
3500;1514464;3052298;49913;3103029
3600;1600634;3236939;63285;3281804
3700;1704254;3416757;62403;3465579
3800;1806442;3602408;70889;3654354
3900;1874987;3791302;65795;3848129
4000;1978944;3992258;74350;4046904
4100;2086790;4192876;86115;4250683
4200;2179320;4394724;75583;4459558
4300;2276275;4613058;77783;4673433
4400;2401499;4820228;79990;4892308
4500;2508988;5051581;76907;5116183
4600;2617680;5276003;86821;5345058
4700;2754603;5500308;78403;5578933
4800;2881684;5743971;73743;5817808
4900;2960054;5980794;71233;6061683
5000;3072841;6225950;86720;6310558
5100;3226092;6481502;95213;6564433
5200;3343798;6725812;99763;6823308
5300;3457306;6996162;99445;7087183
5400;3604872;7256001;123493;7356058
5500;3745924;7527650;104998;7629933
5600;3883827;7803274;95002;7908808
5700;4048312;8082260;92734;8192683
5800;4156961;8381187;112397;8481558
5900;4327559;8666708;123193;8775433
6000;4464564;8965859;98199;9074308
6100;4605289;9250022;101094;9378183
6200;4769571;9562305;186413;9687058
6300;4906623;9863591;214039;10000933
6400;5105343;10183072;99026;10319808
6500;5248478;10505790;126493;10643683
6600;5401871;10832093;110027;10972558
6700;5585565;11158712;130654;11306433
6800;5750755;11496833;116029;11645308
6900;5884944;11828255;114836;11989183
7000;6078224;12173386;213322;12338058
7100;6240397;12531751;138923;12691933
7200;6420117;12885296;145783;13050808
7300;6604587;13242786;238479;13414683
7400;6732490;13610962;128510;13783558
7500;6918595;13960746;135626;14157433
7600;7148199;14352494;128933;14536308
7700;7345608;14724559;162104;14920183
7800;7519560;15116661;287658;15309058
7900;7767557;15516384;149913;15702933
8000;7936226;15906472;155882;16101808
8100;8107602;16297095;156794;16505683
8200;8391668;16713198;304124;16914566
8300;8519216;17110477;255446;17328541
8400;8760988;17518846;167833;17747516
8500;8879247;17939722;150983;18171491
8600;9235893;18372223;152100;18600466
8700;9351731;18789051;185926;19034441
8800;9616899;19230848;180091;19473416
8900;9846770;19653426;332850;19917391
9000;10078889;20103753;255440;20366366
9100;10279703;20544888;151635;20820341
9200;10450903;21015000;151442;21279316
9300;10713550;21469792;167138;21743291
9400;10901064;21937053;290074;22212266
9500;11164380;22402267;277963;22686241
9600;11356928;22876286;222264;23165216
9700;11654205;23341867;267891;23649191
9800;11862690;23831808;251483;24138166
9900;12175689;24334731;182678;24632141
10000;12363336;24825562;174595;25131116
