100;1291;2837
200;4879;10712
300;11159;23707
400;19951;41939
500;31210;64926
600;44973;94276
700;61165;125592
800;78660;163612
900;100793;207396
1000;126011;254172
1100;150598;308019
1200;179281;364359
1300;211155;427216
1400;243606;494873
1500;276693;569312
1600;318047;647131
1700;357641;728737
1800;400768;817324
1900;450937;909959
2000;487542;1006231
2100;545764;1109612
2200;602113;1214454
2300;658772;1326342
2400;711484;1443692
2500;779143;1566272
2600;833706;1692685
2700;897934;1824259
2800;981817;1965255
2900;1036781;2105757
3000;1101775;2250724
3100;1184169;2400351
3200;1266348;2555866
3300;1346932;2722417
3400;1431302;2888975
3500;1514464;3052298
3600;1600634;3236939
3700;1704254;3416757
3800;1806442;3602408
3900;1874987;3791302
4000;1978944;3992258
4100;2086790;4192876
4200;2179320;4394724
4300;2276275;4613058
4400;2401499;4820228
4500;2508988;5051581
4600;2617680;5276003
4700;2754603;5500308
4800;2881684;5743971
4900;2960054;5980794
5000;3072841;6225950
5100;3226092;6481502
5200;3343798;6725812
5300;3457306;6996162
5400;3604872;7256001
5500;3745924;7527650
5600;3883827;7803274
5700;4048312;8082260
5800;4156961;8381187
5900;4327559;8666708
6000;4464564;8965859
6100;4605289;9250022
6200;4769571;9562305
6300;4906623;9863591
6400;5105343;10183072
6500;5248478;10505790
6600;5401871;10832093
6700;5585565;11158712
6800;5750755;11496833
6900;5884944;11828255
7000;6078224;12173386
7100;6240397;12531751
7200;6420117;12885296
7300;6604587;13242786
7400;6732490;13610962
7500;6918595;13960746
7600;7148199;14352494
7700;7345608;14724559
7800;7519560;15116661
7900;7767557;15516384
8000;7936226;15906472
8100;8107602;16297095
8200;8391668;16713198
8300;8519216;17110477
8400;8760988;17518846
8500;8879247;17939722
8600;9235893;18372223
8700;9351731;18789051
8800;9616899;19230848
8900;9846770;19653426
9000;10078889;20103753
9100;10279703;20544888
9200;10450903;21015000
9300;10713550;21469792
9400;10901064;21937053
9500;11164380;22402267
9600;11356928;22876286
9700;11654205;23341867
9800;11862690;23831808
9900;12175689;24334731
10000;12363336;24825562
