0;0
100;755
200;2900
300;6692
400;12007
500;18874
600;27362
700;36641
800;47495
900;60446
1000;74584
1100;89809
1200;108020
1300;126313
1400;145873
1500;167203
1600;193014
1700;216263
1800;241082
1900;269672
2000;297881
2100;329703
2200;360346
2300;396857
2400;431485
2500;467741
2600;505873
2700;545103
2800;590369
2900;624880
3000;669674
3100;716252
3200;765276
3300;810677
3400;868444
3500;911663
3600;968267
3700;1027274
3800;1082381
3900;1136467
4000;1194842
4100;1255433
4200;1314579
4300;1380739
4400;1447036
4500;1512106
4600;1577277
4700;1658258
4800;1716825
4900;1789143
5000;1857656
5100;1939756
5200;2023160
5300;2103369
5400;2183077
5500;2260468
5600;2341741
5700;2440401
5800;2525709
5900;2596154
6000;2694163
6100;2779499
6200;2869192
6300;2965625
6400;3067172
6500;3162650
6600;3259233
6700;3359909
6800;3457566
6900;3562108
7000;3668658
7100;3772491
7200;3879000
7300;3978509
7400;4067131
7500;4195176
7600;4308318
7700;4426596
7800;4553460
7900;4657370
8000;4781649
8100;4896437
8200;5049129
8300;5124314
8400;5279672
8500;5377814
8600;5569754
8700;5656638
8800;5787363
8900;5922129
9000;6055523
9100;6196765
9200;6303900
9300;6460010
9400;6586944
9500;6772195
9600;6860223
9700;7039558
9800;7181464
9900;7362189
