100;1291
200;4879
300;11159
400;19951
500;31210
600;44973
700;61165
800;78660
900;100793
1000;126011
1100;150598
1200;179281
1300;211155
1400;243606
1500;276693
1600;318047
1700;357641
1800;400768
1900;450937
2000;487542
2100;545764
2200;602113
2300;658772
2400;711484
2500;779143
2600;833706
2700;897934
2800;981817
2900;1036781
3000;1101775
3100;1184169
3200;1266348
3300;1346932
3400;1431302
3500;1514464
3600;1600634
3700;1704254
3800;1806442
3900;1874987
4000;1978944
4100;2086790
4200;2179320
4300;2276275
4400;2401499
4500;2508988
4600;2617680
4700;2754603
4800;2881684
4900;2960054
5000;3072841
5100;3226092
5200;3343798
5300;3457306
5400;3604872
5500;3745924
5600;3883827
5700;4048312
5800;4156961
5900;4327559
6000;4464564
6100;4605289
6200;4769571
6300;4906623
6400;5105343
6500;5248478
6600;5401871
6700;5585565
6800;5750755
6900;5884944
7000;6078224
7100;6240397
7200;6420117
7300;6604587
7400;6732490
7500;6918595
7600;7148199
7700;7345608
7800;7519560
7900;7767557
8000;7936226
8100;8107602
8200;8391668
8300;8519216
8400;8760988
8500;8879247
8600;9235893
8700;9351731
8800;9616899
8900;9846770
9000;10078889
9100;10279703
9200;10450903
9300;10713550
9400;10901064
9500;11164380
9600;11356928
9700;11654205
9800;11862690
9900;12175689
10000;12363336
