0;0
100;56
200;195
300;240
400;445
500;557
600;708
700;867
800;971
900;1075
1000;1149
1100;1429
1200;1577
1300;1700
1400;1905
1500;2035
1600;2167
1700;2295
1800;2390
1900;2479
2000;2696
2100;2968
2200;3157
2300;3481
2400;3537
2500;3713
2600;3790
2700;4009
2800;4120
2900;4111
3000;4372
3100;4497
3200;4959
3300;5086
3400;5103
3500;5160
3600;5398
3700;5483
3800;5758
3900;5677
4000;6016
4100;6644
4200;6860
4300;6760
4400;6960
4500;7244
4600;7513
4700;7597
4800;7840
4900;7603
5000;8167
5100;8066
5200;8306
5300;8298
5400;8509
5500;8704
5600;8985
5700;9090
5800;9175
5900;9540
6000;9475
6100;9957
6200;9790
6300;10065
6400;10535
6500;10448
6600;10662
6700;11113
6800;11434
6900;11118
7000;11702
7100;11817
7200;11703
7300;11992
7400;11781
7500;12343
7600;12404
7700;12196
7800;12402
7900;12775
8000;13468
8100;13444
8200;14291
8300;14163
8400;14695
8500;14978
8600;15602
8700;15687
8800;15111
8900;15333
9000;16180
9100;15602
9200;15937
9300;16127
9400;15986
9500;16432
9600;17874
9700;16579
9800;16813
9900;17201
