0,0
100,3395
200,12669
300,27313
400,47296
500,72379
600,102269
700,136956
800,176871
900,221801
1000,272002
1100,327046
1200,386644
1300,451752
1400,522080
1500,596660
1600,676915
1700,761897
1800,851481
1900,946956
2000,1046739
2100,1151646
2200,1261695
2300,1376580
2400,1496316
2500,1620549
2600,1751269
2700,1885825
2800,2026350
2900,2171344
3000,2320525
3100,2475777
3200,2635805
3300,2800712
3400,2970736
3500,3145605
3600,3325621
3700,3510851
3800,3700132
3900,3895762
4000,4095538
4100,4301140
4200,4510695
4300,4725061
4400,4945473
4500,5171011
4600,5400361
4700,5634947
4800,5875452
4900,6119812
5000,6369889
5100,6625102
5200,6885439
5300,7149599
5400,7420953
5500,7694945
5600,7974807
5700,8260407
5800,8550252
5900,8844448
6000,9145301
6100,9449238
6200,9760802
6300,10074265
6400,10395315
6500,10719663
6600,11049920
6700,11383551
6800,11724644
6900,12068765
7000,12418478
7100,12772964
7200,13133864
7300,13499305
7400,13868788
7500,14243482
7600,14623265
7700,15009219
7800,15398848
7900,15793203
8000,16193697
8100,16596523
8200,17008583
8300,17424255
8400,17843689
8500,18268293
8600,18697798
8700,19132315
8800,19574676
8900,20017695
9000,20468227
9100,20923099
9200,21382863
9300,21847488
9400,22319073
9500,22793037
9600,23272424
9700,23757750
9800,24246740
9900,24743700
